hash,min,max,std_dev,empty_buckets,empty_buckets_percent,colliding_buckets,colliding_buckets_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key,load_factor,reducer,dataset,numelements
murmur3_128_city,0,11,1.00004,73577996,0.36789,52847770,0.264239,126425766,0.632129,10511978000,52.5599,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
murmur3_fin64,0,12,1.00029,73597348,0.367987,52846838,0.264234,126444186,0.632221,4833397000,24.167,1,fastrange32,books_200M_uint32.ds,199999999
murmur3_fin64,0,11,0.999921,73568767,0.367844,52844263,0.264221,126413030,0.632065,5743181000,28.7159,1,fastrange64,books_200M_uint32.ds,199999999
murmur3_fin64,0,10,0.999883,73562378,0.367812,52842459,0.264212,126404837,0.632024,9311764000,46.5588,1,modulo,books_200M_uint32.ds,199999999
murmur3_fin64,0,10,0.999883,73562378,0.367812,52842459,0.264212,126404837,0.632024,5651534000,28.2577,1,fast_modulo,books_200M_uint32.ds,199999999
murmur3_fin64,0,10,0.999883,73562378,0.367812,52842459,0.264212,126404837,0.632024,5763335000,28.8167,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
xxh64,0,12,1.00033,73602103,0.368011,52848492,0.264242,126450595,0.632253,6640585000,33.2029,1,fastrange32,books_200M_uint32.ds,199999999
xxh64,0,11,1.00001,73575067,0.367875,52847708,0.264239,126422775,0.632114,6741826000,33.7091,1,fastrange64,books_200M_uint32.ds,199999999
xxh64,0,10,0.999947,73571925,0.36786,52849578,0.264248,126421503,0.632108,9622293000,48.1115,1,modulo,books_200M_uint32.ds,199999999
xxh64,0,10,0.999947,73571925,0.36786,52849578,0.264248,126421503,0.632108,6704217000,33.5211,1,fast_modulo,books_200M_uint32.ds,199999999
xxh64,0,10,0.999947,73571925,0.36786,52849578,0.264248,126421503,0.632108,6774824000,33.8741,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
xxh3,0,11,1.00031,73596396,0.367982,52843728,0.264219,126440124,0.632201,5877889000,29.3894,1,fastrange32,books_200M_uint32.ds,199999999
xxh3,0,11,0.999955,73573370,0.367867,52849945,0.26425,126423315,0.632117,6180156000,30.9008,1,fastrange64,books_200M_uint32.ds,199999999
xxh3,0,12,1.00005,73583629,0.367918,52853111,0.264266,126436740,0.632184,9092197000,45.461,1,modulo,books_200M_uint32.ds,199999999
xxh3,0,12,1.00005,73583629,0.367918,52853111,0.264266,126436740,0.632184,6857697000,34.2885,1,fast_modulo,books_200M_uint32.ds,199999999
xxh3,0,12,1.00005,73583629,0.367918,52853111,0.264266,126436740,0.632184,6733144000,33.6657,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
xxh3_128_low,0,11,1.00028,73597422,0.367987,52848601,0.264243,126446023,0.63223,6702655000,33.5133,1,fastrange32,books_200M_uint32.ds,199999999
xxh3_128_low,0,11,0.999979,73575513,0.367878,52846991,0.264235,126422504,0.632113,6772827000,33.8641,1,fastrange64,books_200M_uint32.ds,199999999
xxh3_128_low,0,11,1.00009,73581426,0.367907,52847842,0.264239,126429268,0.632146,10071141000,50.3557,1,modulo,books_200M_uint32.ds,199999999
xxh3_128_low,0,11,1.00009,73581426,0.367907,52847842,0.264239,126429268,0.632146,7545801000,37.729,1,fast_modulo,books_200M_uint32.ds,199999999
xxh3_128_low,0,11,1.00009,73581426,0.367907,52847842,0.264239,126429268,0.632146,7499960000,37.4998,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
xxh3_128_upp,0,11,1.00024,73591242,0.367956,52845968,0.26423,126437210,0.632186,6426058000,32.1303,1,fastrange32,books_200M_uint32.ds,199999999
xxh3_128_upp,0,12,0.999931,73573722,0.367869,52851775,0.264259,126425497,0.632127,6724466000,33.6223,1,fastrange64,books_200M_uint32.ds,199999999
xxh3_128_upp,0,11,1.00007,73580773,0.367904,52850503,0.264253,126431276,0.632156,10017404000,50.087,1,modulo,books_200M_uint32.ds,199999999
xxh3_128_upp,0,11,1.00007,73580773,0.367904,52850503,0.264253,126431276,0.632156,7686964000,38.4348,1,fast_modulo,books_200M_uint32.ds,199999999
xxh3_128_upp,0,11,1.00007,73580773,0.367904,52850503,0.264253,126431276,0.632156,7352953000,36.7648,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
xxh3_128_xor,0,11,1.00025,73593308,0.367967,52845377,0.264227,126438685,0.632193,6611521000,33.0576,1,fastrange32,books_200M_uint32.ds,199999999
xxh3_128_xor,0,12,1.00005,73580820,0.367904,52850744,0.264254,126431564,0.632158,6718876000,33.5944,1,fastrange64,books_200M_uint32.ds,199999999
xxh3_128_xor,0,11,0.999953,73569566,0.367848,52845393,0.264227,126414959,0.632075,10155035000,50.7752,1,modulo,books_200M_uint32.ds,199999999
xxh3_128_xor,0,11,0.999953,73569566,0.367848,52845393,0.264227,126414959,0.632075,7744718000,38.7236,1,fast_modulo,books_200M_uint32.ds,199999999
xxh3_128_xor,0,11,0.999953,73569566,0.367848,52845393,0.264227,126414959,0.632075,7619587000,38.0979,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
xxh3_128_city,0,12,1.00026,73594345,0.367972,52849943,0.26425,126444288,0.632221,7659852000,38.2993,1,fastrange32,books_200M_uint32.ds,199999999
xxh3_128_city,0,11,1.00005,73581041,0.367905,52849632,0.264248,126430673,0.632153,7859951000,39.2998,1,fastrange64,books_200M_uint32.ds,199999999
xxh3_128_city,0,11,0.999971,73578023,0.36789,52854140,0.264271,126432163,0.632161,10612720000,53.0636,1,modulo,books_200M_uint32.ds,199999999
xxh3_128_city,0,11,0.999971,73578023,0.36789,52854140,0.264271,126432163,0.632161,7877181000,39.3859,1,fast_modulo,books_200M_uint32.ds,199999999
xxh3_128_city,0,11,0.999971,73578023,0.36789,52854140,0.264271,126432163,0.632161,7952693000,39.7635,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
tabulation_small64,0,9225,3.01883,132520248,0.662601,48319053,0.241595,180839301,0.904197,6305948000,31.5297,1,fastrange32,books_200M_uint32.ds,199999999
tabulation_small64,0,9225,3.01757,132503780,0.662519,48336511,0.241683,180840291,0.904201,6825624000,34.1281,1,fastrange64,books_200M_uint32.ds,199999999
tabulation_small64,0,9225,3.01897,132526277,0.662631,48316479,0.241582,180842756,0.904214,9348038000,46.7402,1,modulo,books_200M_uint32.ds,199999999
tabulation_small64,0,9225,3.01897,132526277,0.662631,48316479,0.241582,180842756,0.904214,7033907000,35.1695,1,fast_modulo,books_200M_uint32.ds,199999999
tabulation_small64,0,9225,3.01897,132526277,0.662631,48316479,0.241582,180842756,0.904214,7114927000,35.5746,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
tabulation_large64,0,11,1.00023,73593932,0.36797,52848440,0.264242,126442372,0.632212,6273139000,31.3657,1,fastrange32,books_200M_uint32.ds,199999999
tabulation_large64,0,11,0.999854,73567481,0.367837,52850970,0.264255,126418451,0.632092,6799115000,33.9956,1,fastrange64,books_200M_uint32.ds,199999999
tabulation_large64,0,10,0.999947,73567649,0.367838,52841172,0.264206,126408821,0.632044,9674078000,48.3704,1,modulo,books_200M_uint32.ds,199999999
tabulation_large64,0,10,0.999947,73567649,0.367838,52841172,0.264206,126408821,0.632044,6942549000,34.7127,1,fast_modulo,books_200M_uint32.ds,199999999
tabulation_large64,0,10,0.999947,73567649,0.367838,52841172,0.264206,126408821,0.632044,7170130000,35.8507,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
city64,0,10,1.00033,73599901,0.368,52846902,0.264235,126446803,0.632234,5757028000,28.7851,1,fastrange32,books_200M_uint32.ds,199999999
city64,0,11,1.00002,73574761,0.367874,52845998,0.26423,126420759,0.632104,6217522000,31.0876,1,fastrange64,books_200M_uint32.ds,199999999
city64,0,11,0.999946,73569559,0.367848,52842066,0.26421,126411625,0.632058,9032695000,45.1635,1,modulo,books_200M_uint32.ds,199999999
city64,0,11,0.999946,73569559,0.367848,52842066,0.26421,126411625,0.632058,6019866000,30.0993,1,fast_modulo,books_200M_uint32.ds,199999999
city64,0,11,0.999946,73569559,0.367848,52842066,0.26421,126411625,0.632058,6012818000,30.0641,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
city128_low,0,11,1.0002,73590090,0.36795,52848315,0.264242,126438405,0.632192,7904432000,39.5222,1,fastrange32,books_200M_uint32.ds,199999999
city128_low,0,11,1.0001,73582742,0.367914,52847510,0.264238,126430252,0.632151,9079149000,45.3957,1,fastrange64,books_200M_uint32.ds,199999999
city128_low,0,11,1.00006,73578862,0.367894,52848340,0.264242,126427202,0.632136,12611952000,63.0598,1,modulo,books_200M_uint32.ds,199999999
city128_low,0,11,1.00006,73578862,0.367894,52848340,0.264242,126427202,0.632136,9512710000,47.5636,1,fast_modulo,books_200M_uint32.ds,199999999
city128_low,0,11,1.00006,73578862,0.367894,52848340,0.264242,126427202,0.632136,9743784000,48.7189,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
city128_upp,0,11,1.00026,73595178,0.367976,52845309,0.264227,126440487,0.632202,9690815000,48.4541,1,fastrange32,books_200M_uint32.ds,199999999
city128_upp,0,11,0.999889,73567285,0.367836,52847547,0.264238,126414832,0.632074,10055638000,50.2782,1,fastrange64,books_200M_uint32.ds,199999999
city128_upp,0,11,1.00012,73587132,0.367936,52849531,0.264248,126436663,0.632183,14159616000,70.7981,1,modulo,books_200M_uint32.ds,199999999
city128_upp,0,11,1.00012,73587132,0.367936,52849531,0.264248,126436663,0.632183,9989606000,49.948,1,fast_modulo,books_200M_uint32.ds,199999999
city128_upp,0,11,1.00012,73587132,0.367936,52849531,0.264248,126436663,0.632183,10101943000,50.5097,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
city128_xor,0,11,1.00025,73596288,0.367981,52849972,0.26425,126446260,0.632231,9767774000,48.8389,1,fastrange32,books_200M_uint32.ds,199999999
city128_xor,0,11,0.999934,73569004,0.367845,52845192,0.264226,126414196,0.632071,9976333000,49.8817,1,fastrange64,books_200M_uint32.ds,199999999
city128_xor,0,11,0.999979,73576540,0.367883,52850683,0.264253,126427223,0.632136,14366512000,71.8326,1,modulo,books_200M_uint32.ds,199999999
city128_xor,0,11,0.999979,73576540,0.367883,52850683,0.264253,126427223,0.632136,10102688000,50.5134,1,fast_modulo,books_200M_uint32.ds,199999999
city128_xor,0,11,0.999979,73576540,0.367883,52850683,0.264253,126427223,0.632136,10193475000,50.9674,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
city128_city,0,11,1.00031,73596181,0.367981,52844818,0.264224,126440999,0.632205,10365741000,51.8287,1,fastrange32,books_200M_uint32.ds,199999999
city128_city,0,11,0.999989,73578745,0.367894,52852774,0.264264,126431519,0.632158,10615763000,53.0788,1,fastrange64,books_200M_uint32.ds,199999999
city128_city,0,11,1.00004,73582241,0.367911,52853047,0.264265,126435288,0.632176,14985156000,74.9258,1,modulo,books_200M_uint32.ds,199999999
city128_city,0,11,1.00004,73582241,0.367911,52853047,0.264265,126435288,0.632176,12271850000,61.3593,1,fast_modulo,books_200M_uint32.ds,199999999
city128_city,0,11,1.00004,73582241,0.367911,52853047,0.264265,126435288,0.632176,12224130000,61.1207,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
meow64_low,0,11,1.00027,73596442,0.367982,52850977,0.264255,126447419,0.632237,30650768000,153.254,1,fastrange32,books_200M_uint32.ds,199999999
meow64_low,0,11,1.00002,73576213,0.367881,52850136,0.264251,126426349,0.632132,30784943000,153.925,1,fastrange64,books_200M_uint32.ds,199999999
meow64_low,0,11,1.00003,73577233,0.367886,52849592,0.264248,126426825,0.632134,31789547000,158.948,1,modulo,books_200M_uint32.ds,199999999
meow64_low,0,11,1.00003,73577233,0.367886,52849592,0.264248,126426825,0.632134,30812960000,154.065,1,fast_modulo,books_200M_uint32.ds,199999999
meow64_low,0,11,1.00003,73577233,0.367886,52849592,0.264248,126426825,0.632134,30863239000,154.316,1,branchless_fast_modulo,books_200M_uint32.ds,199999999
meow64_upp,0,12,1.00027,73596581,0.367983,52848858,0.264244,126445439,0.632227,30668372000,153.342,1,fastrange32,books_200M_uint32.ds,199999999
meow64_upp,0,11,0.999985,73577905,0.36789,52854680,0.264273,126432585,0.632163,30133949000,150.67,1,fastrange64,books_200M_uint32.ds,199999999
meow64_upp,0,11,1.00006,73581947,0.36791,52849244,0.264246,126431191,0.632156,30195807000,150.979,1,modulo,books_200M_uint32.ds,199999999
