hash,nanoseconds_total,nanoseconds_per_key,load_factor,reducer,dataset
xxh3_128_xor,843634000,4.21817,1,do_nothing,books_200M_uint32.ds
xxh3_128_xor,722958000,3.61479,1,fastrange32,books_200M_uint32.ds
xxh3_128_xor,874199000,4.371,1,fastrange64,books_200M_uint32.ds
xxh3_128_xor,2105498000,10.5275,1,modulo,books_200M_uint32.ds
xxh3_128_xor,874520000,4.3726,1,fast_modulo,books_200M_uint32.ds
xxh3_128_xor,926467000,4.63234,1,branchless_fast_modulo,books_200M_uint32.ds
xxh3_128_city,1080589000,5.40295,1,do_nothing,books_200M_uint32.ds
xxh3_128_city,990569000,4.95285,1,fastrange32,books_200M_uint32.ds
xxh3_128_city,1205517000,6.02759,1,fastrange64,books_200M_uint32.ds
xxh3_128_city,2297195000,11.486,1,modulo,books_200M_uint32.ds
xxh3_128_city,1112130000,5.56065,1,fast_modulo,books_200M_uint32.ds
xxh3_128_city,1217169000,6.08585,1,branchless_fast_modulo,books_200M_uint32.ds
tabulation_small64,623032000,3.11516,1,do_nothing,books_200M_uint32.ds
tabulation_small64,528245000,2.64123,1,fastrange32,books_200M_uint32.ds
tabulation_small64,644675000,3.22338,1,fastrange64,books_200M_uint32.ds
tabulation_small64,1901218000,9.50609,1,modulo,books_200M_uint32.ds
tabulation_small64,736579000,3.6829,1,fast_modulo,books_200M_uint32.ds
tabulation_small64,688917000,3.44459,1,branchless_fast_modulo,books_200M_uint32.ds
tabulation_large64,616084000,3.08042,1,do_nothing,books_200M_uint32.ds
tabulation_large64,531038000,2.65519,1,fastrange32,books_200M_uint32.ds
tabulation_large64,657969000,3.28985,1,fastrange64,books_200M_uint32.ds
tabulation_large64,1949696000,9.74848,1,modulo,books_200M_uint32.ds
tabulation_large64,675760000,3.3788,1,fast_modulo,books_200M_uint32.ds
tabulation_large64,670280000,3.3514,1,branchless_fast_modulo,books_200M_uint32.ds
city64,516672000,2.58336,1,do_nothing,books_200M_uint32.ds
city64,462713000,2.31357,1,fastrange32,books_200M_uint32.ds
city64,565963000,2.82982,1,fastrange64,books_200M_uint32.ds
city64,1851242000,9.25621,1,modulo,books_200M_uint32.ds
city64,582961000,2.91481,1,fast_modulo,books_200M_uint32.ds
city64,664689000,3.32345,1,branchless_fast_modulo,books_200M_uint32.ds
city128_low,1048251000,5.24126,1,do_nothing,books_200M_uint32.ds
city128_low,985735000,4.92868,1,fastrange32,books_200M_uint32.ds
city128_low,1128989000,5.64495,1,fastrange64,books_200M_uint32.ds
city128_low,2377476000,11.8874,1,modulo,books_200M_uint32.ds
city128_low,1129246000,5.64623,1,fast_modulo,books_200M_uint32.ds
city128_low,1237148000,6.18574,1,branchless_fast_modulo,books_200M_uint32.ds
city128_upp,1293776000,6.46888,1,do_nothing,books_200M_uint32.ds
city128_upp,1263030000,6.31515,1,fastrange32,books_200M_uint32.ds
city128_upp,1399243000,6.99622,1,fastrange64,books_200M_uint32.ds
city128_upp,2691411000,13.4571,1,modulo,books_200M_uint32.ds
city128_upp,1450249000,7.25125,1,fast_modulo,books_200M_uint32.ds
city128_upp,1510479000,7.5524,1,branchless_fast_modulo,books_200M_uint32.ds
city128_xor,1334573000,6.67287,1,do_nothing,books_200M_uint32.ds
city128_xor,1311229000,6.55615,1,fastrange32,books_200M_uint32.ds
city128_xor,1438759000,7.1938,1,fastrange64,books_200M_uint32.ds
city128_xor,2741311000,13.7066,1,modulo,books_200M_uint32.ds
city128_xor,1468928000,7.34464,1,fast_modulo,books_200M_uint32.ds
city128_xor,1558617000,7.79309,1,branchless_fast_modulo,books_200M_uint32.ds
city128_city,1633775000,8.16888,1,do_nothing,books_200M_uint32.ds
city128_city,1605375000,8.02688,1,fastrange32,books_200M_uint32.ds
city128_city,1763725000,8.81863,1,fastrange64,books_200M_uint32.ds
city128_city,3094092000,15.4705,1,modulo,books_200M_uint32.ds
city128_city,1870720000,9.3536,1,fast_modulo,books_200M_uint32.ds
city128_city,1941814000,9.70907,1,branchless_fast_modulo,books_200M_uint32.ds
meow64_low,4046424000,20.2321,1,do_nothing,books_200M_uint32.ds
meow64_low,4096065000,20.4803,1,fastrange32,books_200M_uint32.ds
meow64_low,4290090000,21.4505,1,fastrange64,books_200M_uint32.ds
meow64_low,5994900000,29.9745,1,modulo,books_200M_uint32.ds
meow64_low,4410555000,22.0528,1,fast_modulo,books_200M_uint32.ds
meow64_low,4550246000,22.7512,1,branchless_fast_modulo,books_200M_uint32.ds
meow64_upp,4103440000,20.5172,1,do_nothing,books_200M_uint32.ds
meow64_upp,4155616000,20.7781,1,fastrange32,books_200M_uint32.ds
meow64_upp,4360905000,21.8045,1,fastrange64,books_200M_uint32.ds
meow64_upp,5992415000,29.9621,1,modulo,books_200M_uint32.ds
meow64_upp,4447464000,22.2373,1,fast_modulo,books_200M_uint32.ds
meow64_upp,4620525000,23.1026,1,branchless_fast_modulo,books_200M_uint32.ds
mult64,349335000,1.74668,0.75,do_nothing,books_200M_uint32.ds
mult64,187998000,0.93999,0.75,fastrange32,books_200M_uint32.ds
mult64,346065000,1.73033,0.75,fastrange64,books_200M_uint32.ds
mult64,1621491000,8.10746,0.75,modulo,books_200M_uint32.ds
mult64,289765000,1.44883,0.75,fast_modulo,books_200M_uint32.ds
mult64,302758000,1.51379,0.75,branchless_fast_modulo,books_200M_uint32.ds
fibo64,344212000,1.72106,0.75,do_nothing,books_200M_uint32.ds
fibo64,177659000,0.888295,0.75,fastrange32,books_200M_uint32.ds
fibo64,355962000,1.77981,0.75,fastrange64,books_200M_uint32.ds
fibo64,1623650000,8.11825,0.75,modulo,books_200M_uint32.ds
fibo64,290762000,1.45381,0.75,fast_modulo,books_200M_uint32.ds
fibo64,300901000,1.50451,0.75,branchless_fast_modulo,books_200M_uint32.ds
fibo_prime64,349940000,1.7497,0.75,do_nothing,books_200M_uint32.ds
