dataset,numelements,load_factor,hash,reducer,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key
osm_cellids_200M_uint64,200000000,0.250000,city128_city,fastrange32,0,7,1.001008,623198160,0.778998,21317978,0.026647,44516138,0.222581,19535322559,97.676613
uniform_dense_200M_uint64,200000000,0.750000,city128_xor,fastrange64,0,9,1.000003,125965840,0.472372,46230790,0.173365,105529964,0.527650,12098458658,60.492293
wiki_ts_200M_uint64,90437011,0.500000,xxh3_128_low,fast_modulo,0,9,0.999958,109704617,0.606525,16316562,0.090210,35584168,0.393469,3228132636,35.694818
wiki_ts_200M_uint64,90437011,0.750000,city128_city,fastrange64,0,9,0.999952,56958273,0.472359,20905497,0.173371,47718100,0.527639,6772203696,74.883100
wiki_ts_200M_uint64,90437011,0.250000,murmur_finalizer64,fast_modulo,0,7,1.000011,281729167,0.778799,9584175,0.026494,20002309,0.221174,3190809231,35.282117
wiki_ts_200M_uint64,90437011,0.500000,xxh3_128_upp,fastrange32,0,8,1.000121,109711092,0.606561,16317124,0.090213,35591205,0.393547,2453032602,27.124211
wiki_ts_200M_uint64,90437011,0.250000,xxh64,fastrange32,0,7,1.000096,281736573,0.778820,9591048,0.026513,20016588,0.221332,3415192263,37.763215
uniform_dense_200M_uint64,200000000,0.250000,tabulation_4x255_64,fastrange32,0,9,1.012333,624955323,0.781194,22626143,0.028283,47581466,0.237907,14115196269,70.575981
wiki_ts_200M_uint64,90437011,0.500000,xxh3_128_upp,fastrange64,0,8,0.999986,109706888,0.606538,16317312,0.090214,35587189,0.393502,2342846119,25.905833
wiki_ts_200M_uint64,90437011,0.750000,city128_city,fast_modulo,0,9,0.999964,56960554,0.472378,20908390,0.173395,47723274,0.527696,7162846625,79.202602
wiki_ts_200M_uint64,90437011,0.250000,xxh64,fastrange64,0,7,1.000022,281730286,0.778803,9585330,0.026497,20004583,0.221199,3432310797,37.952502
wiki_ts_200M_uint64,90437011,0.500000,xxh3_128_upp,fast_modulo,0,8,1.000018,109706916,0.606538,16316940,0.090212,35586845,0.393499,3130016750,34.609909
uniform_dense_200M_uint64,200000000,0.750000,city128_xor,fast_modulo,0,10,1.000006,125962120,0.472358,46226594,0.173350,105522048,0.527610,12024636294,60.123181
wiki_ts_200M_uint64,90437011,0.500000,xxh3_128_xor,fastrange32,0,8,1.000036,109706089,0.606533,16314876,0.090200,35583954,0.393467,2946505997,32.580754
wiki_ts_200M_uint64,90437011,0.250000,xxh64,fast_modulo,0,7,1.000020,281731303,0.778805,9587466,0.026503,20007736,0.221234,4052239036,44.807308
wiki_ts_200M_uint64,90437011,0.750000,meow64_low,fastrange32,0,10,1.000214,56968906,0.472447,20908028,0.173392,47731264,0.527785,7430998080,82.167666
uniform_dense_200M_uint64,200000000,0.500000,meow64_upp,fastrange64,0,9,1.000002,242611532,0.606529,36080344,0.090201,78691876,0.393459,21036364727,105.181824
wiki_ts_200M_uint64,90437011,0.500000,xxh3_128_xor,fastrange64,0,8,1.000020,109705453,0.606530,16314917,0.090200,35583359,0.393460,2901824226,32.086689
wiki_ts_200M_uint64,90437011,0.250000,xxh3,fastrange32,0,7,1.000119,281737900,0.778824,9592299,0.026517,20019166,0.221360,2667332606,29.493816
wiki_ts_200M_uint64,90437011,0.500000,xxh3_128_xor,fast_modulo,0,8,0.999882,109695700,0.606476,16306594,0.090154,35565283,0.393260,3754499659,41.515079
wiki_ts_200M_uint64,90437011,0.750000,meow64_low,fastrange64,0,10,0.999956,56956606,0.472345,20902244,0.173344,47713180,0.527585,7391546226,81.731430
wiki_ts_200M_uint64,90437011,0.250000,xxh3,fastrange64,0,7,0.999917,281723155,0.778783,9580210,0.026483,19992332,0.221064,2594846196,28.692304
uniform_dense_200M_uint64,200000000,0.250000,tabulation_4x255_64,fastrange64,0,8,1.011567,624836550,0.781046,22539035,0.028174,47375585,0.236878,14788398334,73.941992
osm_cellids_200M_uint64,200000000,0.250000,city128_city,fastrange64,0,8,0.999991,623039106,0.778799,21197980,0.026497,44237086,0.221185,23554129043,117.770645
wiki_ts_200M_uint64,90437011,0.500000,xxh3_128_city,fastrange32,0,9,1.000038,109710136,0.606556,16320524,0.090231,35593649,0.393574,3726472381,41.205170
uniform_dense_200M_uint64,200000000,0.750000,city128_city,fastrange32,0,10,1.000142,125974628,0.472405,46228123,0.173355,105536085,0.527680,14213672299,71.068361
wiki_ts_200M_uint64,90437011,0.250000,xxh3,fast_modulo,0,7,1.000013,281731878,0.778807,9589062,0.026508,20009907,0.221258,3708743404,41.009133
wiki_ts_200M_uint64,90437011,0.750000,meow64_low,fast_modulo,0,10,1.000009,56959263,0.472367,20904072,0.173359,47717665,0.527634,7482060453,82.732284
wiki_ts_200M_uint64,90437011,0.500000,xxh3_128_city,fastrange64,0,8,1.000045,109708307,0.606545,16317435,0.090214,35588731,0.393520,3787278794,41.877532
wiki_ts_200M_uint64,90437011,0.250000,xxh3_128_low,fastrange32,0,7,1.000121,281738155,0.778824,9592361,0.026517,20019483,0.221364,2598772166,28.735715
wiki_ts_200M_uint64,90437011,0.250000,xxh3_128_low,fastrange64,0,7,1.000084,281735145,0.778816,9589503,0.026509,20013615,0.221299,2684838354,29.687385
wiki_ts_200M_uint64,90437011,0.500000,xxh3_128_city,fast_modulo,0,8,0.999994,109705568,0.606530,16315827,0.090205,35584384,0.393471,4704997092,52.025128
wiki_ts_200M_uint64,90437011,0.750000,meow64_upp,fastrange32,0,10,0.999926,56956455,0.472344,20905286,0.173369,47716071,0.527617,7338670436,81.146760
uniform_dense_200M_uint64,200000000,0.500000,meow64_upp,fast_modulo,0,8,1.000039,242618199,0.606545,36084265,0.090211,78702464,0.393512,21648221968,108.241110
uniform_dense_200M_uint64,200000000,0.250000,tabulation_4x255_64,fast_modulo,0,9,1.011453,624817759,0.781022,22525041,0.028156,47342800,0.236714,14651251995,73.256260
wiki_ts_200M_uint64,90437011,0.250000,xxh3_128_low,fast_modulo,0,7,0.999983,281729618,0.778801,9587475,0.026503,20006060,0.221215,3637707995,40.223665
wiki_ts_200M_uint64,90437011,0.500000,tabulation_1x255_64,fastrange32,0,4261,3.559234,159218200,0.880271,18005534,0.099547,86786723,0.959637,4851180797,53.641543
uniform_dense_200M_uint64,200000000,0.750000,city128_city,fastrange64,0,12,0.999991,125965085,0.472369,46232842,0.173373,105531261,0.527656,15568731720,77.843659
wiki_ts_200M_uint64,90437011,0.250000,xxh3_128_upp,fastrange32,0,8,1.000143,281739311,0.778827,9593037,0.026519,20021315,0.221384,2485335559,27.481399
wiki_ts_200M_uint64,90437011,0.750000,meow64_upp,fastrange64,0,9,0.999906,56956063,0.472340,20905079,0.173367,47715472,0.527610,7564069113,83.639088
uniform_dense_200M_uint64,200000000,0.500000,aqua0_64,fastrange32,0,9,1.000508,242674574,0.606686,36114288,0.090286,78788862,0.393944,4932870879,24.664354
wiki_ts_200M_uint64,90437011,0.500000,tabulation_1x255_64,fastrange64,0,4255,3.557919,159212782,0.880241,18006493,0.099553,86782264,0.959588,5043527945,55.768406
osm_cellids_200M_uint64,200000000,0.250000,city128_city,fast_modulo,0,7,0.999957,623035105,0.778794,21196099,0.026495,44231204,0.221156,23117363867,115.586819
wiki_ts_200M_uint64,90437011,0.250000,xxh3_128_upp,fastrange64,0,7,1.000012,281732412,0.778808,9589673,0.026509,20011052,0.221271,2441051471,26.991731
uniform_dense_200M_uint64,200000000,0.500000,aqua0_64,fastrange64,0,9,0.999908,242601168,0.606503,36076128,0.090190,78677296,0.393386,4893010007,24.465050
wiki_ts_200M_uint64,90437011,0.250000,xxh3_128_upp,fast_modulo,0,7,1.000043,281733387,0.778811,9589768,0.026510,20012122,0.221282,3139366202,34.713290
wiki_ts_200M_uint64,90437011,0.750000,meow64_upp,fast_modulo,0,10,1.000010,56959550,0.472369,20904457,0.173362,47718337,0.527642,7413471770,81.973870
wiki_ts_200M_uint64,90437011,0.500000,tabulation_1x255_64,fast_modulo,0,4259,3.557548,159209364,0.880222,18011019,0.099578,86783372,0.959600,6828893592,75.509944
wiki_ts_200M_uint64,90437011,0.750000,aqua0_64,fastrange32,0,10,1.000027,56959131,0.472366,20902701,0.173347,47716162,0.527618,2642489022,29.219111
uniform_dense_200M_uint64,200000000,0.250000,tabulation_8x255_64,fastrange32,0,10,1.012359,624959791,0.781200,22630498,0.028288,47590289,0.237951,14747826741,73.739134
wiki_ts_200M_uint64,90437011,0.250000,xxh3_128_xor,fastrange32,0,7,1.000077,281735356,0.778817,9590678,0.026512,20015001,0.221314,3049283033,33.717203
wiki_ts_200M_uint64,90437011,0.500000,tabulation_4x255_64,fastrange32,0,9,1.008516,110170020,0.609098,16545922,0.091478,36278931,0.401151,5067938948,56.038329
wiki_ts_200M_uint64,90437011,0.750000,aqua0_64,fastrange64,0,9,0.999962,56958069,0.472357,20902915,0.173349,47715314,0.527608,2651981129,29.324069
uniform_dense_200M_uint64,200000000,0.500000,aqua0_64,fast_modulo,0,9,0.999995,242610987,0.606527,36080932,0.090202,78691919,0.393460,6093208168,30.466041
uniform_dense_200M_uint64,200000000,0.750000,city128_city,fast_modulo,0,10,0.999972,125963017,0.472361,46229534,0.173361,105525885,0.527629,17797567408,88.987837
wiki_ts_200M_uint64,90437011,0.250000,xxh3_128_xor,fastrange64,0,7,1.000031,281731415,0.778806,9586841,0.026501,20007223,0.221228,2996919324,33.138195
wiki_ts_200M_uint64,90437011,0.750000,aqua0_64,fast_modulo,0,11,1.000156,56966650,0.472428,20905432,0.173370,47726412,0.527731,3624117124,40.073385
wiki_ts_200M_uint64,90437011,0.500000,tabulation_4x255_64,fastrange64,0,9,1.008501,110170177,0.609099,16546037,0.091478,36279203,0.401154,4945701130,54.686694
wiki_ts_200M_uint64,90437011,0.250000,xxh3_128_xor,fast_modulo,0,8,0.999928,281722707,0.778782,9578733,0.026479,19990407,0.221042,3986338618,44.078620
uniform_dense_200M_uint64,200000000,0.500000,aqua1_64,fastrange32,0,8,1.000459,242669278,0.606673,36112638,0.090282,78781916,0.393910,4887698959,24.438495
wiki_ts_200M_uint64,90437011,0.750000,aqua1_64,fastrange32,0,9,1.000107,56963499,0.472402,20904607,0.173363,47722436,0.527687,2585598116,28.590044
wiki_ts_200M_uint64,90437011,0.750000,aqua1_64,fastrange64,0,9,1.000090,56963320,0.472401,20905091,0.173367,47722741,0.527690,2624807561,29.023599
wiki_ts_200M_uint64,90437011,0.250000,xxh3_128_city,fastrange32,0,7,1.000083,281736115,0.778819,9591602,0.026515,20016684,0.221333,3814441940,42.177886
wiki_ts_200M_uint64,90437011,0.500000,tabulation_4x255_64,fast_modulo,0,9,1.008361,110161294,0.609050,16540576,0.091448,36264859,0.400996,6811099697,75.313189
uniform_dense_200M_uint64,200000000,0.500000,aqua1_64,fastrange64,0,9,0.999960,242609366,0.606523,36082932,0.090207,78692298,0.393461,4825470534,24.127353
wiki_ts_200M_uint64,90437011,0.750000,aqua1_64,fast_modulo,0,10,1.000089,56960981,0.472381,20902692,0.173347,47718003,0.527638,3340008561,36.931877
uniform_dense_200M_uint64,200000000,0.250000,tabulation_8x255_64,fastrange64,0,8,1.011573,624838534,0.781048,22542025,0.028178,47380559,0.236903,15919290760,79.596454
osm_cellids_200M_uint64,200000000,0.250000,meow64_low,fastrange32,0,7,1.000987,623193951,0.778992,21313730,0.026642,44507681,0.222538,27030086653,135.150433
wiki_ts_200M_uint64,90437011,0.250000,xxh3_128_city,fastrange64,0,7,1.000054,281732814,0.778810,9587868,0.026504,20009649,0.221255,3831278154,42.364051
wiki_ts_200M_uint64,90437011,0.500000,tabulation_8x255_64,fastrange32,0,9,1.008549,110169048,0.609093,16541932,0.091456,36273969,0.401097,4829870955,53.405911
uniform_dense_200M_uint64,200000000,0.750000,meow64_low,fastrange32,0,10,1.000104,125972459,0.472397,46229239,0.173360,105535032,0.527675,18898705513,94.493528
uniform_dense_200M_uint64,200000000,0.500000,aqua1_64,fast_modulo,0,9,1.000010,242610475,0.606526,36077249,0.090193,78687724,0.393439,5795785881,28.978929
wiki_ts_200M_uint64,90437011,0.250000,xxh3_128_city,fast_modulo,0,7,0.999979,281728382,0.778797,9585330,0.026497,20002679,0.221178,4634266391,51.243029
wiki_ts_200M_uint64,90437011,0.500000,tabulation_8x255_64,fastrange64,0,10,1.008383,110162952,0.609059,16542055,0.091456,36267996,0.401030,4691034410,51.870737
wiki_ts_200M_uint64,90437011,0.250000,tabulation_1x255_64,fastrange32,0,4261,3.558997,339399927,0.938222,18455493,0.051018,86544387,0.956958,5252130385,58.075011
wiki_ts_200M_uint64,90437011,0.500000,tabulation_8x255_64,fast_modulo,0,9,1.008479,110169235,0.609094,16546154,0.091479,36278378,0.401145,6431299075,71.113574
uniform_dense_200M_uint64,200000000,0.250000,tabulation_8x255_64,fast_modulo,0,9,1.011428,624812446,0.781016,22519112,0.028149,47331558,0.236658,14309661620,71.548308
wiki_ts_200M_uint64,90437011,0.500000,city64,fastrange32,0,10,1.000121,109713371,0.606573,16320454,0.090231,35596814,0.393609,2677867932,29.610310
wiki_ts_200M_uint64,90437011,0.250000,tabulation_1x255_64,fastrange64,0,4255,3.557940,339395257,0.938209,18457645,0.051023,86541869,0.956930,4909814628,54.289882
wiki_ts_200M_uint64,90437011,0.500000,city64,fastrange64,0,8,1.000141,109713996,0.606577,16320334,0.090230,35597319,0.393615,3018381673,33.375513
uniform_dense_200M_uint64,200000000,0.750000,meow64_low,fastrange64,0,11,1.000061,125968979,0.472384,46231562,0.173368,105533875,0.527669,16965903939,84.829520
osm_cellids_200M_uint64,200000000,0.250000,meow64_low,fastrange64,0,7,1.000018,623043053,0.778804,21201441,0.026502,44244494,0.221222,22838137945,114.190690
