dataset,numelements,load_factor,hash,reducer,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key
books_200M_uint32,199999999,1.000000,fibo64_rotate4,fastrange64,0,6,0.948448,70739411,0.353697,54066094,0.270330,124805505,0.624028,7889174144,39.445871
books_200M_uint32,199999999,0.750000,mult64_rotate4,fastrange64,0,5,0.906491,116751556,0.437818,43439488,0.162898,93524378,0.467622,8959457632,44.797288
books_200M_uint32,199999999,1.000000,fibo64_rotate4,branchless_fast_modulo,0,7,0.908688,66736649,0.333683,52781774,0.263909,119518423,0.597592,8011976623,40.059883
books_200M_uint32,199999999,0.750000,mult64_rotate4,branchless_fast_modulo,0,6,0.907131,116836284,0.438136,43480521,0.163052,93650139,0.468251,9113236813,45.566184
books_200M_uint32,199999999,1.000000,fibo_prime64_rotate4,fastrange32,0,7,0.864430,62570273,0.312851,51499851,0.257499,114070124,0.570351,7489853478,37.449268
books_200M_uint32,199999999,0.750000,fibo64_rotate4,fastrange32,0,12,1.600898,189095618,0.709109,56987537,0.213703,179416489,0.897082,9064385220,45.321926
books_200M_uint32,199999999,1.000000,fibo_prime64_rotate4,fastrange64,0,6,0.950449,70875136,0.354376,54045045,0.270225,124920181,0.624601,7660347202,38.301736
books_200M_uint32,199999999,0.750000,fibo64_rotate4,fastrange64,0,5,0.910916,118170869,0.443141,45331904,0.169995,96836107,0.484181,8562619058,42.813096
books_200M_uint32,199999999,1.000000,fibo_prime64_rotate4,branchless_fast_modulo,0,8,0.887516,64475916,0.322380,51792217,0.258961,116268133,0.581341,8231268127,41.156341
books_200M_uint32,199999999,0.750000,fibo64_rotate4,branchless_fast_modulo,0,6,0.888800,114748175,0.430306,42447698,0.159179,90529207,0.452646,9111241365,45.556207
books_200M_uint32,199999999,1.000000,multadd64_rotate4,fastrange32,0,7,0.854503,61695885,0.308479,51292071,0.256460,112987956,0.564940,8024329463,40.121648
books_200M_uint32,199999999,0.750000,fibo_prime64_rotate4,fastrange32,0,6,0.867333,111842509,0.419409,40343769,0.151289,85519612,0.427598,8576382382,42.881912
books_200M_uint32,199999999,1.000000,multadd64_rotate4,fastrange64,0,7,0.878467,64092721,0.320464,52267204,0.261336,116359925,0.581800,8524993730,42.624969
books_200M_uint32,199999999,0.750000,fibo_prime64_rotate4,fastrange64,0,6,0.911539,118230857,0.443366,45347460,0.170053,96911651,0.484558,8704396443,43.521982
books_200M_uint32,199999999,1.000000,multadd64_rotate4,branchless_fast_modulo,0,8,0.919497,67240917,0.336205,52366207,0.261831,119607124,0.598036,9562905114,47.814526
books_200M_uint32,199999999,0.750000,fibo_prime64_rotate4,branchless_fast_modulo,0,6,0.883610,114058389,0.427719,41973131,0.157399,89364854,0.446824,8099805540,40.499028
books_200M_uint32,199999999,1.000000,murmur3_128_low,fastrange32,0,13,1.000320,73598515,0.367993,52847187,0.264236,126445702,0.632229,11079075786,55.395379
books_200M_uint32,199999999,0.750000,multadd64_rotate4,fastrange32,0,6,0.868892,112224858,0.420843,40819395,0.153073,86377587,0.431888,7833440305,39.167202
books_200M_uint32,199999999,1.000000,murmur3_128_low,fastrange64,0,11,1.000024,73573507,0.367868,52843077,0.264215,126416584,0.632083,12690695698,63.453479
books_200M_uint32,199999999,0.750000,multadd64_rotate4,fastrange64,0,6,0.970208,125182377,0.469434,48775908,0.182910,107291619,0.536458,7839514795,39.197574
books_200M_uint32,199999999,0.750000,multadd64_rotate4,branchless_fast_modulo,0,8,0.961331,122652083,0.459945,45845211,0.171920,101830628,0.509153,9234018295,46.170092
books_200M_uint32,199999999,1.000000,murmur3_128_low,branchless_fast_modulo,0,12,1.000014,73575226,0.367876,52845157,0.264226,126420383,0.632102,12381056869,61.905285
books_200M_uint32,199999999,0.750000,murmur3_128_low,fastrange32,0,10,1.000116,125974906,0.472406,46232566,0.173372,105540806,0.527704,11088993715,55.444969
