dataset,numelements,load_factor,bucket_size,hashtable,hash,reducer,payload,insert_nanoseconds_total,insert_nanoseconds_per_key,avg_lookup_nanoseconds_total,avg_lookup_nanoseconds_per_key,median_lookup_nanoseconds_total,median_lookup_nanoseconds_per_key,unsuccessful_lookup_percent,primary_key_ratio,empty_buckets,min_chain_length,max_chain_length,additional_buckets,empty_additional_slots,min_psl,max_psl,total_psl
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,64,28020802557,309.837778,25417305749,281.049821,25413118796,281.003524,0.0,0.665912,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,17565930406,194.233867,20979908127,231.983652,20980127290,231.986076,0.0,0.658317,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,64,29015883048,320.840801,25496328245,281.923606,25493138932,281.888340,0.0,0.658317,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,16,36518513360,182.592567,45960284289,229.801421,45958958851,229.794794,0.0,0.650519,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_add64-murmur3_fin64_2,fast_modulo-fast_modulo,64,60672973130,303.364866,62517722758,312.588614,62541225278,312.706126,0.0,0.650519,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,36428459295,182.142296,46117572676,230.587863,46116403282,230.582016,0.0,0.650418,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,64,65313912503,326.569563,60453474143,302.267371,60462219946,302.311100,0.0,0.650418,,,,,,,,
normal_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38740423740,193.702119,48126676471,240.633382,48113961803,240.569809,0.0,0.650373,,,,,,,,
normal_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,66525907193,332.629536,62378767123,311.893836,62381851947,311.909260,0.0,0.650373,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38231139395,191.155697,47373836281,236.869181,47382863799,236.914319,0.0,0.650366,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,65700163062,328.500815,61433310343,307.166552,61432034295,307.160171,0.0,0.650366,,,,,,,,
normal_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38710617431,193.553087,47714328088,238.571640,47710426155,238.552131,0.0,0.650361,,,,,,,,
normal_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,67071281283,335.356406,62678178790,313.390894,62698064348,313.490322,0.0,0.650361,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38876130112,194.380651,47770584198,238.852921,47698841597,238.494208,0.0,0.650355,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,67169618450,335.848092,62711522151,313.557611,62652454273,313.262271,0.0,0.650355,,,,,,,,
osm_cellids_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,39599926491,197.999632,49028270149,245.141351,48569746160,242.848731,0.0,0.650348,,,,,,,,
osm_cellids_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,71051681783,355.258409,68073487798,340.367439,69648217632,348.241088,0.0,0.650348,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38880128745,194.400644,48287502509,241.437513,48274950617,241.374753,0.00.0,0.650340,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,68196709524,340.983548,62693955677,313.469778,62592238611,312.961193,0.0,0.650340,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,51523656134,257.618281,56729222981,283.646115,56861099080,284.305495,0.0,0.650340,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,69266452573,346.332263,65619653874,328.098269,65619714011,328.098570,0.0,0.650340,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,17024275559,188.244562,21331046313,235.866335,21327104931,235.822753,0.0,0.650336,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,28486117535,314.982961,25837159199,285.692317,25842448858,285.750807,0.0,0.650336,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,40720937298,203.604686,48491388625,242.456943,48495342893,242.476714,0.0,0.650331,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,67385369604,336.926848,62949979146,314.749896,62959417254,314.797086,0.0,0.650331,,,,,,,,
osm_cellids_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,39887532917,199.437665,50489317120,252.446586,49589627883,247.948139,0.0,0.650326,,,,,,,,
osm_cellids_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,71129750418,355.648752,66476679929,332.383400,66434060111,332.170301,0.0,0.650326,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,17132805568,189.444624,21445582908,237.132814,21442366499,237.097249,0.0,0.650321,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,28644818471,316.737784,25696850272,284.140862,25692158174,284.088980,0.0,0.650321,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,38926466188,194.632331,48473074796,242.365374,48478671642,242.393358,0.0,0.650320,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,67651610909,338.258055,61987747246,309.938736,61985935370,309.929677,0.0,0.650320,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38196921669,190.984608,46913175142,234.565876,46918344316,234.591722,0.0,0.650318,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,66195671720,330.978359,61565839134,307.829196,61560473226,307.802366,0.0,0.650318,,,,,,,,
osm_cellids_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,39665473990,198.327370,49255426081,246.277130,49468624710,247.343124,0.0,0.650314,,,,,,,,
osm_cellids_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,71983301327,359.916507,67738724361,338.693622,67497842505,337.489213,0.0,0.650314,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38691188768,193.455944,47863022242,239.315111,47858460993,239.292305,0.0,0.650306,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,64,66999177472,334.995887,62435302062,312.176510,62435564370,312.177822,0.0,0.650306,,,,,,,,
normal_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,43115144779,215.575724,53022074871,265.110374,53233171170,266.165856,0.0,0.650294,,,,,,,,
normal_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,71813508686,359.067543,65898706886,329.493534,65864353842,329.321769,0.0,0.650294,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,58429655671,292.148278,49030159682,245.150798,49022199214,245.110996,0.0,0.650292,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,71538171493,357.690857,67031981547,335.159908,66817117907,334.085590,0.0,0.650292,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38968516788,194.842584,48298802153,241.494011,48307136576,241.535683,0.0,0.650289,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,66527923449,332.639617,62272136803,311.360684,62225312395,311.126562,0.0,0.650289,,,,,,,,
uniform_dense_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38411309850,192.056549,47900396509,239.501983,47897580520,239.487903,0.0,0.650284,,,,,,,,
uniform_dense_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,66207941960,331.039710,62097909478,310.489547,62095462001,310.477310,0.0,0.650284,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,38538155604,192.690778,48018915176,240.094576,48052953693,240.264768,0.0,0.650280,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,64,67365057498,336.825287,62034695622,310.173478,61974325748,309.871629,0.0,0.650280,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38961218730,194.806094,48398400083,241.992000,48388890866,241.944454,0.0,0.650264,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,66881143860,334.405719,62771986507,313.859933,62770426963,313.852135,0.0,0.650264,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,17056186388,188.597414,20978241378,231.965222,20976819896,231.949505,0.0,0.650255,,,,,,,,
wiki_ts_200M_uint64,90437011,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,64,28250165111,312.373936,25832830870,285.644457,25835585847,285.674920,0.0,0.650255,,,,,,,,
