dataset,numelements,load_factor,bucket_size,hashtable,hash,reducer,payload,insert_nanoseconds_total,insert_nanoseconds_per_key,avg_lookup_nanoseconds_total,avg_lookup_nanoseconds_per_key,median_lookup_nanoseconds_total,median_lookup_nanoseconds_per_key,unsuccessful_lookup_percent,num_runs,primary_key_ratio,empty_buckets,min_chain_length,max_chain_length,additional_buckets,empty_additional_slots,min_psl,max_psl,total_psl
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_biased_kicking_10,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,60632300392,303.161502,48127173009,240.635865,48127311073,240.636555,0.000000,5,0.811189,,,,,,,,
wiki_ts_200M_uint64,90437011,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,20190114727,223.250575,22223563839,245.735276,21830360565,241.387462,0.000000,5,0.614011,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38968516788,194.842584,48298802153,241.494011,48307136576,241.535683,0.000000,5,0.650289,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,45737504003,228.687520,48357986227,241.789931,48360948409,241.804742,0.000000,5,0.613982,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_biased_kicking_10,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,61046337827,305.231689,48381303114,241.906516,48385285130,241.926426,0.000000,5,0.811135,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,38961218730,194.806094,48398400083,241.992000,48388890866,241.944454,0.000000,5,0.650264,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,38926466188,194.632331,48473074796,242.365374,48478671642,242.393358,0.000000,5,0.650320,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,44592393491,222.961967,48485409926,242.427050,48486310319,242.431552,0.000000,5,0.613987,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,40720937298,203.604686,48491388625,242.456943,48495342893,242.476714,0.000000,5,0.650331,,,,,,,,
osm_cellids_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,45263228353,226.316142,48520276320,242.601382,48519107892,242.595539,0.000000,5,0.614008,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,16,41833091820,209.165459,49361708117,246.808541,48565051369,242.825257,0.000000,5,0.681313,,,,,,,,
osm_cellids_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,39599926491,197.999632,49028270149,245.141351,48569746160,242.848731,0.000000,5,0.650348,,,,,,,,
normal_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,44366790776,221.833954,48611809740,243.059049,48610143621,243.050718,0.000000,5,0.613940,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_biased_kicking_10,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,61503157971,307.515790,48632254878,243.161274,48630817606,243.154088,0.000000,5,0.811191,,,,,,,,
normal_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,44789996208,223.949981,48621442282,243.107211,48653949886,243.269749,0.000000,5,0.614087,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,45463182495,227.315912,48710536938,243.552685,48713190012,243.565950,0.000000,5,0.613983,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,39735554260,198.677771,48734098955,243.670495,48729497769,243.647489,0.000000,5,0.650340,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,45879372556,229.396863,48823539993,244.117700,48826819991,244.134100,0.000000,5,0.614017,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,44713348285,223.566741,48851297809,244.256489,48853589139,244.267946,0.000000,5,0.614008,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,44719864026,223.599320,49006013022,245.030065,48937299837,244.686499,0.000000,5,0.614019,,,,,,,,
fb_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,58429655671,292.148278,49030159682,245.150798,49022199214,245.110996,0.000000,5,0.650292,,,,,,,,
normal_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,46330943028,231.654715,49052316652,245.261583,49054374521,245.271873,0.000000,5,0.613994,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,45694298567,228.471493,49433716193,247.168581,49446826404,247.234132,0.000000,5,0.613912,,,,,,,,
osm_cellids_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,39665473990,198.327370,49255426081,246.277130,49468624710,247.343124,0.000000,5,0.650314,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,46265022241,231.325111,49661295910,248.306480,49551481227,247.757406,0.000000,5,0.613998,,,,,,,,
osm_cellids_200M_uint64,200000000,0.950000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,39887532917,199.437665,50489317120,252.446586,49589627883,247.948139,0.000000,5,0.650326,,,,,,,,
consecutive_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,47579060823,237.895304,49662341054,248.311705,49641891632,248.209458,0.000000,5,0.613981,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,45711641694,228.558208,49695666092,248.478330,49703613533,248.518068,0.000000,5,0.614008,,,,,,,,
fb_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,aqua0_64-murmur3_fin64_2,fast_modulo-fast_modulo,16,46106898647,230.534493,49960444021,249.802220,49772095384,248.860477,0.000000,5,0.613998,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,murmur_finalizer64-murmur3_fin64_2,fast_modulo-fast_modulo,16,46142711161,230.713556,49803473524,249.017368,49804164091,249.020820,0.000000,5,0.613965,,,,,,,,
gapped_10percent_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,46277769621,231.388848,50546624161,252.733121,50368138705,251.840694,0.000000,5,0.614000,,,,,,,,
consecutive_200M_uint64,200000000,0.950000,8,cuckoo_8_biased_kicking_10,mult_prime64-murmur3_fin64_2,fast_modulo-fast_modulo,64,186079587643,930.397938,53014639021,265.073195,52963512898,264.817564,0.000000,5,0.999496,,,,,,,,
osm_cellids_200M_uint64,200000000,0.980000,8,cuckoo_8_balanced_kicking,xxh3-murmur3_fin64_2,fast_modulo-fast_modulo,16,48806085590,244.030428,53057900682,265.289503,53161513824,265.807569,0.000000,5,0.614018,,,,,,,,
