dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
books_200M_uint32,199999999,0.250000,pgm_hash_eps256_epsrec1,min_max_cutoff,1.000000,0,138,0.922759,608198144,0.760248,7044665,0.008806,15242812,0.076214,658311684,3.291558,15787679279,78.938397,844428222,4.222141,34235234000,171.176171,51525653185,257.628267
books_200M_uint32,199999999,0.250000,pgm_hash_eps256_epsrec4,min_max_cutoff,0.001000,0,54581,4.035051,642851276,0.803564,28433691,0.035542,71284970,0.356425,19228923,0.096145,9760196,0.048801,1944600,0.009723,13914188094,69.570941,13945121813,69.725609
books_200M_uint32,199999999,0.250000,pgm_hash_eps256_epsrec4,min_max_cutoff,0.010000,0,2573,1.033197,622463860,0.778080,17593769,0.021992,40057632,0.200288,160889365,0.804447,109841139,0.549206,10415278,0.052076,16605628968,83.028145,16886774750,84.433874
books_200M_uint32,199999999,0.250000,pgm_hash_eps256_epsrec4,min_max_cutoff,0.100000,0,656,0.925596,608502872,0.760629,7329248,0.009162,15832123,0.079161,2613016463,13.065082,1320135509,6.600678,78774003,0.393870,22904762975,114.523815,26916688950,134.583445
books_200M_uint32,199999999,0.250000,pgm_hash_eps256_epsrec4,min_max_cutoff,1.000000,0,138,0.922759,608198144,0.760248,7044665,0.008806,15242812,0.076214,935209792,4.676049,16331326093,81.656631,816025876,4.080129,28847484043,144.237421,46930045804,234.650230
books_200M_uint32,199999999,0.250000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.001000,0,2922,0.957857,609984567,0.762481,8665665,0.010832,18650235,0.093251,17232091,0.086160,9057813,0.045289,2171197,0.010856,25123609231,125.618047,25152070332,125.760352
books_200M_uint32,199999999,0.250000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.010000,0,493,0.934391,610008521,0.762511,8688167,0.010860,18696691,0.093483,150035146,0.750176,109151143,0.545756,15398873,0.076994,35841297918,179.206490,36115883080,180.579416
books_200M_uint32,199999999,0.250000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.100000,0,40,0.933026,609867455,0.762334,8507488,0.010634,18374946,0.091875,3240856488,16.204283,1393183854,6.965919,140181224,0.700906,51247128927,256.235646,56021350493,280.106754
books_200M_uint32,199999999,0.250000,pgm_hash_eps4_epsrec0,min_max_cutoff,1.000000,0,9,0.903601,605549738,0.756937,4780517,0.005976,10330258,0.051651,716024356,3.580122,18934221708,94.671109,1732351123,8.661756,117773987763,588.869942,139156584950,695.782928
books_200M_uint32,199999999,0.250000,pgm_hash_eps4_epsrec1,min_max_cutoff,0.001000,0,2922,0.957857,609984567,0.762481,8665665,0.010832,18650235,0.093251,17794918,0.088975,9040965,0.045205,1832537,0.009163,33627371249,168.136857,33656039669,168.280199
