dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps256_epsrec1,clamp,0.001000,0,4,0.922217,224945942,0.562365,15866264,0.039666,40812206,0.204061,591172137,2.955861,11921454,0.059607,19184905,0.095925,13050835736,65.254179,13673114232,68.365571
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps128_epsrec4,clamp,0.100000,0,4,0.717441,201469422,0.503674,1466745,0.003667,2936167,0.014681,2238571772,11.192859,2029365973,10.146830,142134270,0.710671,14482910466,72.414552,18892982481,94.464912
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps256_epsrec4,clamp,1.000000,0,4,0.897186,222435055,0.556088,14376953,0.035942,36812008,0.184060,1378274912,6.891375,22327811657,111.639058,2365858450,11.829292,16817990388,84.089952,42889935407,214.449677
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps256_epsrec4,clamp,0.001000,0,4,1.049039,624945942,0.781182,15866264,0.019833,40812206,0.204061,1581132836,7.905664,11959743,0.059799,6802854,0.034014,13420414237,67.102071,15020309670,75.101548
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps256_epsrec4,clamp,0.010000,0,5,1.110382,640930832,0.801164,33613301,0.042017,74544133,0.372721,519112214,2.595561,157895270,0.789476,24715500,0.123578,15605936695,78.029683,16307659679,81.538298
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps256_epsrec1,clamp,0.010000,0,5,0.991437,240930832,0.602327,33613301,0.084033,74544133,0.372721,589280812,2.946404,149878256,0.749391,30851484,0.154257,14121152601,70.605763,14891163153,74.455816
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps256_epsrec4,clamp,0.100000,0,4,0.893526,604834072,0.756043,4829363,0.006037,9663435,0.048317,2106477059,10.532385,1738121746,8.690609,159764540,0.798823,14924501802,74.622509,18928865147,94.644326
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps128_epsrec1,clamp,0.001000,0,5,0.904538,222927307,0.557318,14453083,0.036133,37380390,0.186902,591172137,2.955861,11921454,0.059607,5013447,0.025067,18395865830,91.979329,19003972868,95.019864
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps256_epsrec1,clamp,0.100000,0,4,0.740532,204834072,0.512085,4829363,0.012073,9663435,0.048317,2238571772,11.192859,2029365973,10.146830,164315828,0.821579,17491385395,87.456927,21923638968,109.618195
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps128_epsrec4,clamp,1.000000,0,4,0.897110,222422531,0.556056,14365005,0.035913,36787536,0.183938,1378274912,6.891375,22327811657,111.639058,2165976125,10.829881,14657113744,73.285569,40529176438,202.645882
consecutive_200M_uint64,200000000,0.250000,radix_spline_err32_rbits18,clamp,1.000000,0,1,0.866025,600000000,0.750000,0,0.000000,0,0.000000,585487661,2.927438,19800594840,99.002974,1834233444,9.171167,12957619515,64.788098,35177935460,175.889677
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps128_epsrec4,clamp,0.001000,0,5,1.033532,622927307,0.778659,14453083,0.018066,37380390,0.186902,1581132836,7.905664,11959743,0.059799,14502288,0.072511,15866172066,79.330860,17473766933,87.368835
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps128_epsrec4,clamp,0.010000,0,4,0.936382,612642960,0.765804,12604750,0.015756,25247710,0.126239,519112214,2.595561,157895270,0.789476,24988411,0.124942,18683048273,93.415241,19385044168,96.925221
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps128_epsrec1,clamp,0.010000,0,4,0.791714,212642960,0.531607,12604750,0.031512,25247710,0.126239,589280812,2.946404,149878256,0.749391,19945829,0.099729,19463576179,97.317881,20222681076,101.113405
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps128_epsrec4,clamp,0.100000,0,4,0.874483,601469422,0.751837,1466745,0.001833,2936167,0.014681,2106477059,10.532385,1738121746,8.690609,133608808,0.668044,16709727113,83.548636,20687934726,103.439674
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps256_epsrec0,clamp,0.001000,0,4,0.922217,224945942,0.562365,15866264,0.039666,40812206,0.204061,591172137,2.955861,11921454,0.059607,6096970,0.030485,16182858352,80.914292,16792048913,83.960245
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps256_epsrec1,clamp,1.000000,0,4,0.897186,222435055,0.556088,14376953,0.035942,36812008,0.184060,1378274912,6.891375,22327811657,111.639058,2337956785,11.689784,14947095808,74.735479,40991139162,204.955696
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps128_epsrec1,clamp,0.100000,0,4,0.717441,201469422,0.503674,1466745,0.003667,2936167,0.014681,2238571772,11.192859,2029365973,10.146830,158860845,0.794304,19813336876,99.066684,24240135466,121.200677
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps256_epsrec4,clamp,1.000000,0,4,1.027104,622435055,0.778044,14376953,0.017971,36812008,0.184060,585487661,2.927438,19800594840,99.002974,2053636564,10.268183,14755526128,73.777631,37195245193,185.976226
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps256_epsrec0,clamp,0.010000,0,5,0.991437,240930832,0.602327,33613301,0.084033,74544133,0.372721,589280812,2.946404,149878256,0.749391,43477133,0.217386,15576615341,77.883077,16359251542,81.796258
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps256_epsrec1,clamp,0.010000,0,5,1.110382,640930832,0.801164,33613301,0.042017,74544133,0.372721,519112214,2.595561,157895270,0.789476,15218129,0.076091,14726364332,73.631822,15418589945,77.092950
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps128_epsrec0,clamp,0.001000,0,5,0.904538,222927307,0.557318,14453083,0.036133,37380390,0.186902,591172137,2.955861,11921454,0.059607,5028776,0.025144,16833889806,84.169449,17442012173,87.210061
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps256_epsrec1,clamp,0.100000,0,4,0.893526,604834072,0.756043,4829363,0.006037,9663435,0.048317,2106477059,10.532385,1738121746,8.690609,154810981,0.774055,17180876577,85.904383,21180286363,105.901432
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps256_epsrec1,clamp,0.001000,0,4,1.049039,624945942,0.781182,15866264,0.019833,40812206,0.204061,1581132836,7.905664,11959743,0.059799,4142361,0.020712,17206017165,86.030086,18803252105,94.016261
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps128_epsrec1,clamp,1.000000,0,4,0.897110,222422531,0.556056,14365005,0.035913,36787536,0.183938,1378274912,6.891375,22327811657,111.639058,2120247030,10.601235,15279432410,76.397162,41105766009,205.528830
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps256_epsrec0,clamp,0.100000,0,4,0.740532,204834072,0.512085,4829363,0.012073,9663435,0.048317,2238571772,11.192859,2029365973,10.146830,222323529,1.111618,17220301162,86.101506,21710562436,108.552812
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps128_epsrec4,clamp,1.000000,0,4,1.027038,622422531,0.778028,14365005,0.017956,36787536,0.183938,585487661,2.927438,19800594840,99.002974,2526265178,12.631326,16546984578,82.734923,39459332257,197.296661
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps128_epsrec0,clamp,0.010000,0,4,0.791714,212642960,0.531607,12604750,0.031512,25247710,0.126239,589280812,2.946404,149878256,0.749391,20825263,0.104126,18092691846,90.463459,18852676177,94.263381
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps128_epsrec1,clamp,0.010000,0,4,0.936382,612642960,0.765804,12604750,0.015756,25247710,0.126239,519112214,2.595561,157895270,0.789476,25011606,0.125058,18352470370,91.762352,19054489460,95.272447
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps256_epsrec0,clamp,1.000000,0,4,0.897186,222435055,0.556088,14376953,0.035942,36812008,0.184060,1378274912,6.891375,22327811657,111.639058,2180514999,10.902575,13900781083,69.503905,39787382651,198.936913
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps128_epsrec1,clamp,0.001000,0,5,1.033532,622927307,0.778659,14453083,0.018066,37380390,0.186902,1581132836,7.905664,11959743,0.059799,1922382,0.009612,16293436293,81.467181,17888451254,89.442256
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps128_epsrec1,clamp,0.100000,0,4,0.874483,601469422,0.751837,1466745,0.001833,2936167,0.014681,2106477059,10.532385,1738121746,8.690609,157475198,0.787376,19441623703,97.208119,23443697706,117.218489
consecutive_200M_uint64,200000000,0.500000,pgm_hash_eps128_epsrec0,clamp,0.100000,0,4,0.717441,201469422,0.503674,1466745,0.003667,2936167,0.014681,2238571772,11.192859,2029365973,10.146830,140599918,0.703000,20573950973,102.869755,24982488636,124.912443
consecutive_200M_uint64,200000000,0.250000,pgm_hash_eps256_epsrec1,clamp,1.000000,0,4,1.027104,622435055,0.778044,14376953,0.017971,36812008,0.184060,585487661,2.927438,19800594840,99.002974,2016988805,10.084944,13474369811,67.371849,35877441117,179.387206
