dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
books_200M_uint32,199999999,0.500000,pgm_eps128,min_max_cutoff,0.001000,0,106479,32.768499,399800039,0.999500,199959,0.000500,199999999,1.000000,34440393,0.172202,12709180,0.063546,4528064,0.022640,18376352896,91.881765,18428030533,92.140153
books_200M_uint32,199999999,0.250000,pgm_eps128,min_max_cutoff,0.001000,0,106479,32.772314,799800037,0.999750,199959,0.000250,199999999,1.000000,33158217,0.165791,12695430,0.063477,4536221,0.022681,19551301260,97.756507,19601691128,98.008456
books_200M_uint32,199999999,0.500000,pgm_eps16,min_max_cutoff,0.001000,0,38766,35.193395,399801630,0.999504,198367,0.000496,199999998,1.000000,41669639,0.208348,12981958,0.064910,5849087,0.029245,24471106309,122.355532,24531606993,122.658036
books_200M_uint32,199999999,0.500000,pgm_hash_eps128,min_max_cutoff,0.001000,0,27216,2.496660,284246969,0.710617,39183186,0.097958,123430156,0.617151,84924766,0.424624,12381344,0.061907,4384620,0.021923,13251407200,66.257036,13353097930,66.765490
books_200M_uint32,199999999,0.250000,pgm_eps16,min_max_cutoff,0.001000,0,38766,35.196947,799801628,0.999752,198367,0.000248,199999998,1.000000,1016949622,5.084748,12890144,0.064451,5028499,0.025142,25652453990,128.262271,26687322255,133.436612
books_200M_uint32,199999999,0.500000,pgm_hash_eps16,min_max_cutoff,0.001000,0,6091,1.055549,232982046,0.582455,26798700,0.066997,59780747,0.298904,37903817,0.189519,14251832,0.071259,7916780,0.039584,44586054478,222.930274,44646126907,223.230636
books_200M_uint32,199999999,0.250000,pgm_hash_eps128,min_max_cutoff,0.001000,0,27216,2.520458,676564781,0.845706,34160116,0.042700,110724900,0.553625,27734290,0.138671,14091610,0.070458,6505548,0.032528,44943827206,224.719137,44992158654,224.960794
books_200M_uint32,199999999,0.500000,pgm_eps128,min_max_cutoff,0.010000,0,24891,10.784233,398000663,0.995002,1999312,0.004998,199999976,1.000000,3897870387,19.489352,134199237,0.670996,41949671,0.209748,48349531811,241.747660,52423551106,262.117757
books_200M_uint32,199999999,0.500000,pgm_eps16,min_max_cutoff,0.010000,0,4204,11.330643,398016863,0.995042,1983108,0.004958,199999972,1.000000,3346968399,16.734842,148654302,0.743272,47908496,0.239542,46091721800,230.458610,49635252997,248.176266
books_200M_uint32,199999999,0.250000,pgm_hash_eps16,min_max_cutoff,0.001000,0,6091,1.020927,608601708,0.760752,7390064,0.009238,15991775,0.079959,548090245,2.740451,14721495,0.073607,6919736,0.034599,102389977867,511.949892,102959709343,514.798549
