dataset,numelements,load_factor,sample_size,bucket_size,hashtable,model,reducer,payload,insert_nanoseconds_total,insert_nanoseconds_per_key,avg_lookup_nanoseconds_total,avg_lookup_nanoseconds_per_key,median_lookup_nanoseconds_total,median_lookup_nanoseconds_per_key,unsuccessful_lookup_percent,primary_key_ratio,empty_buckets,min_chain_length,max_chain_length,additional_buckets,empty_additional_slots,min_psl,max_psl,total_psl
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,78339482433,391.697412,70447776805,352.238884,70388868971,351.944345,0.000000,0.700836,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,37781907077,188.909535,46645010784,233.225054,46545890255,232.729451,0.000000,0.991415,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,65971024537,329.855123,61075881182,305.379406,61052452508,305.262263,0.000000,0.991415,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,47230288103,236.151441,54251988269,271.259941,54130443786,270.652219,0.000000,0.729970,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,71722015498,358.610077,71723120825,358.615604,71730182273,358.650911,0.000000,0.729970,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,37348197016,186.740985,47082156456,235.410782,46980370492,234.901852,0.000000,0.998579,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,66165875141,330.829376,63068093772,315.340469,63116203225,315.581016,0.000000,0.998579,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,46768286972,233.841435,54532624494,272.663122,54536789561,272.683948,0.000000,0.728769,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,74024991313,370.124957,71224403321,356.122017,71198526745,355.992634,0.000000,0.728769,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,38575364517,192.876823,48098759744,240.493799,48071526442,240.357632,0.000000,0.996129,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,66735768410,333.678842,62167663069,310.838315,62089257329,310.446287,0.000000,0.996129,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,44751455650,223.757278,53084005626,265.420028,52998634998,264.993175,0.000000,0.728769,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,72771857505,363.859288,69401151406,347.005757,69330992932,346.654965,0.000000,0.728769,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,37422368831,187.111844,46533153434,232.665767,46473648966,232.368245,0.000000,0.996129,,,,,,,,
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,65419387343,327.096937,60918898452,304.594492,60856357849,304.281789,0.000000,0.996129,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,47555339935,237.776700,53245145113,266.225726,53271243492,266.356217,0.000000,0.691076,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,73853162723,369.265814,70697713180,353.488566,70649977625,353.249888,0.000000,0.691076,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,36737349052,183.686745,45381831285,226.909156,45476010756,227.380054,0.000000,0.990828,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,65833967040,329.169835,61228220126,306.141101,61264592704,306.322964,0.000000,0.990828,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,50488232007,252.441160,56177690820,280.888454,56042858413,280.214292,0.000000,0.689726,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,78327651428,391.638257,73158353152,365.791766,73207538639,366.037693,0.000000,0.689726,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,40634890527,203.174453,49093938907,245.469695,49121618361,245.608092,0.000000,0.987796,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,68722890585,343.614453,63277949851,316.389749,63232001630,316.160008,0.000000,0.987796,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,51377706699,256.888533,57008670419,285.043352,56915966600,284.579833,0.000000,0.689726,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,79128010347,395.640052,73416727469,367.083637,73420772433,367.103862,0.000000,0.689726,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,40209476557,201.047383,49927011363,249.635057,49864480644,249.322403,0.000000,0.987796,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,69202073001,346.010365,64129647374,320.648237,64204918807,321.024594,0.000000,0.987796,,,,,,,,
normal_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,16,45712594740,228.562974,52635854607,263.179273,52664934543,263.324673,0.000000,0.714469,,,,,,,,
normal_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,radix_spline_err32_rbits18-murmur3_fin64_2,clamp-fast_modulo,64,69950692028,349.753460,69880559555,349.402798,69899779293,349.498896,0.000000,0.714469,,,,,,,,
