dataset,numelements,load_factor,sample_size,bucket_size,hashtable,model,reducer,payload,insert_nanoseconds_total,insert_nanoseconds_per_key,avg_lookup_nanoseconds_total,avg_lookup_nanoseconds_per_key,median_lookup_nanoseconds_total,median_lookup_nanoseconds_per_key,unsuccessful_lookup_percent,primary_key_ratio,empty_buckets,min_chain_length,max_chain_length,additional_buckets,empty_additional_slots,min_psl,max_psl,total_psl
gapped_1percent_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,67309000836,336.545004,62072704559,310.363523,62042853941,310.214270,,0.996123,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,50310456814,251.552284,56787621306,283.938107,56792480721,283.962404,,0.689798,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,80226829395,401.134147,74592815997,372.964080,74634123612,373.170618,,0.689798,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,41088088452,205.440442,49616732699,248.083663,49535176711,247.675884,,0.987822,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,70909645178,354.548226,64629332084,323.146660,64589401179,322.947006,,0.987822,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,51374174049,256.870870,57679340093,288.396700,57613202312,288.066012,,0.689798,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,80584502912,402.922515,75383457075,376.917285,75422227587,377.111138,,0.689798,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,40490828126,202.454141,50235589362,251.177947,50191429692,250.957148,,0.987822,,,,,,,,
normal_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,71485518112,357.427591,65357535090,326.787675,65320834661,326.604173,,0.987822,,,,,,,,
normal_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,47438528276,237.192641,55912278908,279.561395,55840815235,279.204076,,0.713096,,,,,,,,
normal_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,75758583967,378.792920,73595352950,367.976765,73624734357,368.123672,,0.713096,,,,,,,,
normal_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,40105835080,200.529175,49464679960,247.323400,49542378335,247.711892,,0.994617,,,,,,,,
normal_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,69994142040,349.970710,64377982157,321.889911,64349112188,321.745561,,0.994617,,,,,,,,
normal_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,48450353121,242.251766,56894149410,284.470747,56898343972,284.491720,,0.713096,,,,,,,,
normal_200M_uint64,200000000,0.950000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,76186610597,380.933053,74354987270,371.774936,74408797007,372.043985,,0.713096,,,,,,,,
normal_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,39529759622,197.648798,49916850320,249.584252,49906457836,249.532289,,0.994617,,,,,,,,
normal_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,70225299036,351.126495,64992598750,324.962994,64965398129,324.826991,,0.994617,,,,,,,,
uniform_dense_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,50960056332,254.800282,56172522776,280.862614,56155008273,280.775041,,0.702002,,,,,,,,
uniform_dense_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,81712737603,408.563688,73774896975,368.874485,73859497340,369.297487,,0.702002,,,,,,,,
uniform_dense_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,39256373829,196.281869,48612773754,243.063869,48604143906,243.020720,,0.992723,,,,,,,,
uniform_dense_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,70835999842,354.179999,63266503462,316.332517,63180982657,315.904913,,0.992723,,,,,,,,
uniform_dense_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,49707224820,248.536124,54808009669,274.040048,54755398413,273.776992,,0.702002,,,,,,,,
uniform_dense_200M_uint64,200000000,0.980000,,8,cuckoo_8_balanced_kicking,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,80218660346,401.093302,71946354349,359.731772,71968753069,359.843765,,0.702002,,,,,,,,
uniform_dense_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,37871561201,189.357806,46927970051,234.639850,46937712560,234.688563,,0.992723,,,,,,,,
uniform_dense_200M_uint64,200000000,0.980000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,67348044655,336.740223,61957363946,309.786820,61941653120,309.708266,,0.992723,,,,,,,,
uniform_dense_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,16,38337488926,191.687445,48429080132,242.145401,48489118761,242.445594,,0.996221,,,,,,,,
uniform_dense_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec0-murmur3_fin64_2,clamp-fast_modulo,64,68222795902,341.113980,63314289462,316.571447,63347033363,316.735167,,0.996221,,,,,,,,
uniform_dense_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,16,37063400465,185.317002,48182104410,240.910522,48680948156,243.404741,,0.996221,,,,,,,,
uniform_dense_200M_uint64,200000000,0.950000,,8,cuckoo_8_biased_kicking_10,pgm_hash_eps128_epsrec4-murmur3_fin64_2,clamp-fast_modulo,64,71819146557,359.095733,66399849671,331.999248,66384299924,331.921500,,0.996221,,,,,,,,
