dataset,numelements,model,reducer,sample_size,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
consecutive_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,1.000000,1081975217,5.409876,18628868490,93.144342,933257468,4.666287,4026092250,20.130461,24670193425,123.350967,10
books_200M_uint32,199999999,pgm_hash_eps16_epsrec0,min_max_cutoff,0.100000,1542350008,7.711750,1634975922,8.174880,79939405,0.399697,17764138541,88.820693,21021403876,105.107020,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,1.000000,1090282931,5.451415,18402634238,92.013171,518511602,2.592558,4728356527,23.641783,24739785298,123.698926,10
consecutive_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,1.000000,1081975217,5.409876,18628868490,93.144342,985319119,4.926596,4034215574,20.171078,24730378400,123.651892,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,0.100000,1567546020,7.837730,1621723397,8.108617,149721190,0.748606,13582448625,67.912243,16921439232,84.607196,10
consecutive_200M_uint64,200000000,pgm_hash_eps4_epsrec4,min_max_cutoff,1.000000,1081975217,5.409876,18628868490,93.144342,934614225,4.673071,4031726352,20.158632,24677184284,123.385921,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,1.000000,1090282931,5.451415,18402634238,92.013171,546607682,2.733038,8355055648,41.775278,28394580499,141.972902,10
consecutive_200M_uint64,200000000,pgm_hash_eps256_epsrec1,min_max_cutoff,1.000000,1081975217,5.409876,18628868490,93.144342,742412342,3.712062,3242841200,16.214206,23696097249,118.480486,10
consecutive_200M_uint64,200000000,pgm_hash_eps64_epsrec1,min_max_cutoff,1.000000,1081975217,5.409876,18628868490,93.144342,644457942,3.222290,3187970526,15.939853,23543272175,117.716361,10
consecutive_200M_uint64,200000000,pgm_hash_eps16_epsrec1,min_max_cutoff,1.000000,1081975217,5.409876,18628868490,93.144342,697024366,3.485122,3186019668,15.930098,23593887741,117.969439,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps4_epsrec4,min_max_cutoff,1.000000,1090282931,5.451415,18402634238,92.013171,650338522,3.251693,9439438847,47.197194,29582694538,147.913473,10
consecutive_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,1.000000,1081975217,5.409876,18628868490,93.144342,648199212,3.240996,3237312025,16.186560,23596354944,117.981775,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps256_epsrec1,min_max_cutoff,1.000000,1090282931,5.451415,18402634238,92.013171,504998511,2.524993,3233164209,16.165821,23231079889,116.155399,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,0.100000,1567546020,7.837730,1621723397,8.108617,92392827,0.461964,17361697829,86.808489,20643360073,103.216800,10
consecutive_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,1.000000,1081975217,5.409876,18628868490,93.144342,637854835,3.189274,4951600750,24.758004,25300299292,126.501496,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps64_epsrec1,min_max_cutoff,1.000000,1090282931,5.451415,18402634238,92.013171,450028707,2.250144,6353557731,31.767789,26296503607,131.482518,10
