dataset,numelements,model,reducer,sample_size,model_count,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
gapped_1percent_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,1.000000,,1067215092,5.336075,19721953217,98.609766,379227912,1.896140,3750843914,18.754220,24919240135,124.596201,10
books_200M_uint32,199999999,pgm_hash_eps16_epsrec0,min_max_cutoff,0.100000,,1151926556,5.759633,1777345464,8.886727,65440288,0.327201,16965317634,84.826589,19960029942,99.800150,10
consecutive_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,1.000000,,1075844374,5.379222,19521359077,97.606795,544956349,2.724782,3722955358,18.614777,24865115158,124.325576,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,1.000000,,1067215092,5.336075,19721953217,98.609766,299903732,1.499519,4423666443,22.118332,25512738484,127.563692,10
consecutive_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,1.000000,,1075844374,5.379222,19521359077,97.606795,499060637,2.495303,3969600389,19.848002,25065864477,125.329322,10
consecutive_200M_uint64,200000000,pgm_hash_eps4_epsrec4,min_max_cutoff,1.000000,,1075844374,5.379222,19521359077,97.606795,482846599,2.414233,3707117646,18.535588,24787167696,123.935838,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,1.000000,,1067215092,5.336075,19721953217,98.609766,239268214,1.196341,7578319452,37.891597,28606755975,143.033780,10
consecutive_200M_uint64,200000000,pgm_hash_eps256_epsrec1,min_max_cutoff,1.000000,,1075844374,5.379222,19521359077,97.606795,495896880,2.479484,3146094917,15.730475,24239195248,121.195976,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,0.100000,,1526192572,7.630963,1680515764,8.402579,88494320,0.442472,17719338860,88.596694,21014541516,105.072708,10
consecutive_200M_uint64,200000000,pgm_hash_eps64_epsrec1,min_max_cutoff,1.000000,,1075844374,5.379222,19521359077,97.606795,494552915,2.472765,3043820794,15.219104,24135577160,120.677886,10
consecutive_200M_uint64,200000000,pgm_hash_eps16_epsrec1,min_max_cutoff,1.000000,,1075844374,5.379222,19521359077,97.606795,583209576,2.916048,3273167914,16.365840,24453580941,122.267905,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps4_epsrec4,min_max_cutoff,1.000000,,1067215092,5.336075,19721953217,98.609766,369756565,1.848783,8692393744,43.461969,29851318618,149.256593,10
consecutive_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,1.000000,,1075844374,5.379222,19521359077,97.606795,504865325,2.524327,3029631964,15.148160,24131700740,120.658504,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps256_epsrec1,min_max_cutoff,1.000000,,1067215092,5.336075,19721953217,98.609766,222886146,1.114431,3108415604,15.542078,24120470059,120.602350,10
consecutive_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,1.000000,,1075844374,5.379222,19521359077,97.606795,635796428,3.178982,5018784184,25.093921,26251784063,131.258920,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps64_epsrec1,min_max_cutoff,1.000000,,1067215092,5.336075,19721953217,98.609766,278902571,1.394513,5672461416,28.362307,26740532296,133.702661,10
books_200M_uint32,199999999,pgm_hash_eps4_epsrec0,min_max_cutoff,0.100000,,1151926556,5.759633,1777345464,8.886727,92753721,0.463769,29177060389,145.885303,32199086130,160.995431,10
consecutive_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,1.000000,,1075844374,5.379222,19521359077,97.606795,490404079,2.452020,4610085733,23.050429,25697693263,128.488466,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps4_epsrec4,min_max_cutoff,0.100000,,1526192572,7.630963,1680515764,8.402579,113054356,0.565272,20535809998,102.679050,23855572690,119.277863,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps16_epsrec1,min_max_cutoff,1.000000,,1067215092,5.336075,19721953217,98.609766,242848326,1.214242,8713376747,43.566884,29745393382,148.726967,10
consecutive_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,1.000000,,1075844374,5.379222,19521359077,97.606795,841635341,4.208177,5050407034,25.252035,26489245826,132.446229,10
books_200M_uint32,199999999,pgm_hash_eps256_epsrec4,min_max_cutoff,1.000000,,1071464528,5.357323,19562042367,97.810212,459750055,2.298750,7650302045,38.251510,28743558995,143.717796,10
consecutive_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,1.000000,,1075844374,5.379222,19521359077,97.606795,818505627,4.092528,4723421112,23.617106,26139130190,130.695651,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,1.000000,,1067215092,5.336075,19721953217,98.609766,540983416,2.704917,11753907672,58.769538,33084059397,165.420297,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec1,min_max_cutoff,0.100000,,1526192572,7.630963,1680515764,8.402579,72017593,0.360088,14207470347,71.037352,17486196276,87.430981,10
books_200M_uint32,199999999,pgm_hash_eps64_epsrec4,min_max_cutoff,1.000000,,1071464528,5.357323,19562042367,97.810212,580194926,2.900975,11800588873,59.002945,33014290694,165.071454,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,1.000000,,1067215092,5.336075,19721953217,98.609766,423910127,2.119551,4916018660,24.580093,26129097096,130.645485,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,1.000000,,1067215092,5.336075,19721953217,98.609766,252047076,1.260235,6928651830,34.643259,27969867215,139.849336,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps64_epsrec1,min_max_cutoff,0.100000,,1526192572,7.630963,1680515764,8.402579,80268508,0.401343,15001395963,75.006980,18288372807,91.441864,10
books_200M_uint32,199999999,pgm_hash_eps16_epsrec4,min_max_cutoff,1.000000,,1071464528,5.357323,19562042367,97.810212,580462925,2.902315,15419514044,77.097571,36633483864,183.167420,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,1.000000,,1067215092,5.336075,19721953217,98.609766,227208501,1.136043,11528172490,57.640862,32544549300,162.722747,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec1,min_max_cutoff,0.100000,,1526192572,7.630963,1680515764,8.402579,56247329,0.281237,20823093201,104.115466,24086048866,120.430244,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,1.000000,,1067215092,5.336075,19721953217,98.609766,361678187,1.808391,16403025461,82.015127,37553871957,187.769360,10
books_200M_uint32,199999999,pgm_hash_eps4_epsrec4,min_max_cutoff,1.000000,,1071464528,5.357323,19562042367,97.810212,723561717,3.617809,23104778058,115.523891,44461846670,222.309234,10
books_200M_uint32,199999999,pgm_hash_eps256_epsrec1,min_max_cutoff,1.000000,,1071464528,5.357323,19562042367,97.810212,271251243,1.356256,10619665290,53.098327,31524423428,157.622118,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,0.100000,,1526192572,7.630963,1680515764,8.402579,81689839,0.408449,27214391235,136.071956,30502789410,152.513947,10
books_200M_uint32,199999999,pgm_hash_eps64_epsrec1,min_max_cutoff,1.000000,,1071464528,5.357323,19562042367,97.810212,323379576,1.616898,12395830714,61.979154,33352717185,166.763587,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,0.100000,,1526192572,7.630963,1680515764,8.402579,74308288,0.371541,13616345075,68.081725,16897361699,84.486808,10
books_200M_uint32,199999999,pgm_hash_eps16_epsrec1,min_max_cutoff,1.000000,,1071464528,5.357323,19562042367,97.810212,515409595,2.577048,17987839695,89.939199,39136756185,195.683782,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,0.100000,,1526192572,7.630963,1680515764,8.402579,47139081,0.235695,16073571346,80.367857,19327418763,96.637094,10
books_200M_uint32,199999999,pgm_hash_eps4_epsrec1,min_max_cutoff,1.000000,,1071464528,5.357323,19562042367,97.810212,732950217,3.664751,30110583642,150.552919,51477040754,257.385205,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,0.100000,,1526192572,7.630963,1680515764,8.402579,89462932,0.447315,23239944682,116.199723,26536115950,132.680580,10
books_200M_uint32,199999999,pgm_hash_eps256_epsrec0,min_max_cutoff,1.000000,,1071464528,5.357323,19562042367,97.810212,252875312,1.264377,11815182548,59.075913,32701564755,163.507825,10
books_200M_uint32,199999999,pgm_hash_eps64_epsrec0,min_max_cutoff,1.000000,,1071464528,5.357323,19562042367,97.810212,361356884,1.806784,17265069394,86.325347,38259933173,191.299667,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.100000,,1526192572,7.630963,1680515764,8.402579,86373814,0.431869,32188399209,160.941996,35481481359,177.407407,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,1.000000,,1322980983,6.614905,19041873312,95.209367,460986952,2.304935,16220980133,81.104901,37046821380,185.234107,10
books_200M_uint32,199999999,pgm_hash_eps16_epsrec0,min_max_cutoff,1.000000,,1071464528,5.357323,19562042367,97.810212,541527783,2.707639,33287341463,166.436708,54462376141,272.311882,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,1.000000,,1322980983,6.614905,19041873312,95.209367,499538618,2.497693,20243600994,101.218005,41107993907,205.539970,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,1.000000,,1322980983,6.614905,19041873312,95.209367,590831268,2.954156,37156179418,185.780897,58111864981,290.559325,10
books_200M_uint32,199999999,pgm_hash_eps4_epsrec0,min_max_cutoff,1.000000,,1071464528,5.357323,19562042367,97.810212,761016045,3.805080,62597984613,312.989925,83992507553,419.962540,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps4_epsrec4,min_max_cutoff,1.000000,,1322980983,6.614905,19041873312,95.209367,794714141,3.973571,42420383943,212.101920,63579952379,317.899762,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec1,min_max_cutoff,1.000000,,1322980983,6.614905,19041873312,95.209367,469314522,2.346573,19864396369,99.321982,40698565186,203.492826,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps64_epsrec1,min_max_cutoff,1.000000,,1322980983,6.614905,19041873312,95.209367,480191853,2.400959,22229835040,111.149175,43074881188,215.374406,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec1,min_max_cutoff,1.000000,,1322980983,6.614905,19041873312,95.209367,538107880,2.690539,32658664254,163.293321,53561626429,267.808132,10
